Zip Code,Property,,,,,,,,,,,,,,,
30659,B04_0151_0011,B05_0151_0011,,,,,,,,,,,,,,
30827,B04_0142_0004,B05_0142_0004,,,,,,,,,,,,,,
30851,B04_0167_0070,B04_0177_0100,B05_0167_0070,B05_0177_0100,,,,,,,,,,,,
31275,B04_0144_0058,B05_0144_0058,,,,,,,,,,,,,,
40215,B04_0123_0002,B05_0123_0002,,,,,,,,,,,,,,
40221,B04_0132_0020,B04_0161_0003,B05_0132_0020,B05_0161_0003,,,,,,,,,,,,
40223,B04_0134_0028,B04_0162_0001,B05_0134_0028,B05_0162_0001,,,,,,,,,,,,
40225,B04_0133_0002,B04_0133_0003,B05_0133_0002,B05_0133_0003,,,,,,,,,,,,
40227,B04_0095_0004,B05_0095_0004,,,,,,,,,,,,,,
40239,B04_0113_0003,B04_0116_0002,B04_0147_0031,B05_0113_0003,B05_0116_0002,B05_0147_0031,,,,,,,,,,
40472,B04_0163_0016,B05_0163_0016,,,,,,,,,,,,,,
40474,B04_0125_0016,B05_0125_0016,,,,,,,,,,,,,,
40476,B04_0127_0011,B05_0127_0011,,,,,,,,,,,,,,
40545,B04_0148_0016,B05_0148_0016,,,,,,,,,,,,,,
40591,B04_0101_0002,B05_0101_0002,,,,,,,,,,,,,,
40595,B04_0105_0003,B05_0105_0003,,,,,,,,,,,,,,
40597,B04_0111_0007,B05_0111_0007,,,,,,,,,,,,,,
40599,B04_0110_0007,B04_0110_0008,B04_0119_00A5,B04_0119_00B5,B05_0110_0007,B05_0110_0008,B05_0119_00A5,B05_0119_00B5,,,,,,,,
40627,B04_0114_0004,B04_0124_0004,B05_0114_0004,B05_0124_0004,,,,,,,,,,,,
40667,B04_0189_0055,B05_0189_0055,,,,,,,,,,,,,,
40764,B04_0120_0003,B05_0120_0003,,,,,,,,,,,,,,
40789,B04_0184_0175,B05_0184_0175,,,,,,,,,,,,,,
40878,B04_0182_0026,B05_0182_0026,,,,,,,,,,,,,,
40880,B04_0192_0036,B05_0192_0036,,,,,,,,,,,,,,
40883,B04_0107_0003,B05_0107_0003,,,,,,,,,,,,,,
40885,B04_0183_0026,B05_0183_0026,,,,,,,,,,,,,,
41363,B04_0112_0104,B04_0112_0114,B04_0112_0118,B04_0112_0225,B04_0112_0231,B05_0112_0104,B05_0112_0114,B05_0112_0118,B05_0112_0225,B05_0112_0231,,,,,,
41460,B04_0165_0201,B05_0165_0201,,,,,,,,,,,,,,
41462,B04_0159_0001,B05_0159_0001,,,,,,,,,,,,,,
41540,B04_0093_0003,B04_0106_0066,B05_0093_0003,B05_0106_0066,,,,,,,,,,,,
42781,B04_0164_0140,B04_0188_0036,B04_0190_0199,B05_0164_0140,B05_0188_0036,B05_0190_0199,,,,,,,,,,
46015,IT1_0023_00PB,,,,,,,,,,,,,,,
50127,B04_0194_0031,B05_0194_0031,,,,,,,,,,,,,,
50169,B04_0169_0003,B05_0169_0003,,,,,,,,,,,,,,
50170,B04_0097_0015,B04_0122_0002,B04_0141_0003,B05_0097_0015,B05_0122_0002,B05_0141_0003,,,,,,,,,,
50226,B04_0102_0003,B05_0102_0003,,,,,,,,,,,,,,
50354,B04_0186_0059,B05_0186_0059,,,,,,,,,,,,,,
50374,B04_0140_0003,B05_0140_0003,,,,,,,,,,,,,,
50735,B04_0115_0003,B05_0115_0003,,,,,,,,,,,,,,
50829,B04_0173_0069,B05_0173_0069,,,,,,,,,,,,,,
50858,B04_0077_0002,B04_0078_0003,B04_0083_0002,B04_0092_0003,B04_0096_0004,B04_0109_0003,B04_0126_0003,B04_0135_0043,B05_0077_0002,B05_0078_0003,B05_0083_0002,B05_0092_0003,B05_0096_0004,B05_0109_0003,B05_0126_0003,B05_0135_0043
50859,B04_0088_0003,B04_0131_0602,B05_0088_0003,B05_0131_0602,,,,,,,,,,,,
