Zip Code multiple,Property,Int ID,Zip Code
IMMO Consolidation Entity (LUX),OTHER ADMINISTRATIVE EXPENSES : ESOP Trust,3594,
IMMO Managed Companies (Consolidation entity),MARKETING,458,
RainMaker Investments GmbH (EUR),MARKETING,458,
RI Nord GmbH (EUR),MARKETING,458,
RI Living GmbH (EUR),MARKETING,458,
Rainmaker Elimination,MARKETING,458,
IMMO Consolidation Entity (LUX),MARKETING,458,
Chandos Holdings UG ( IMMO managed),MARKETING,458,
Arcangel Assets GmbH (IMMO managed),MARKETING,458,
Ruscha Residential GmbH (EUR) (IMMO managed),MARKETING,458,
Chandos Elimination (IMMO managed),MARKETING,458,
Nuveen HoldCo (Consolidation),MARKETING,458,
TIAA General Account Housing German Property GmbH (EUR),MARKETING,458,
TIAA General Account Housing German Service GmbH (EUR),MARKETING,458,
Nuveen Elimination,MARKETING,458,
Exporo Bestand 46 GmbH (EUR),MARKETING,458,
Consolidation Elimination,MARKETING,458,
productivity subsidiary,MARKETING,458,
Test Entity,MARKETING,458,
IMMO Investment Technologies S.à r.l. (LUX),MARKETING,458,
IMMO Fund (consolidation entity),MARKETING,458,
IMMO Capital Fund GP S.à r.l (LUX),MARKETING,458,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),MARKETING,458,
Capital fund Elimination,MARKETING,458,
IMMO Services Companies (Consolidation entity),MARKETING,458,
IMMO Investment Technologies UK Limited (UK),MARKETING,458,
INSTA IMMO GmbH (GER),MARKETING,458,
Chandos Holdings UG,MARKETING,458,
Arcangel Assets GmbH,MARKETING,458,
Ruscha Residential GmbH,MARKETING,458,
Chandos Elimination,MARKETING,458,
IMMO Investment Technologies España S.L (SPN),MARKETING,458,
IMMO Digital Solutions India Private Limited (INR),MARKETING,458,
IMMO Service Elimination entity,MARKETING,458,
IMMO Property Owning Structure (Consolidation entity),MARKETING,458,
Carilux Investment S.à r.l (LUX),MARKETING,458,
Moonstone Holdings S.à r.l (LUX),MARKETING,458,
Matis Investment S.à r.l (LUX),MARKETING,458,
"IMMO Central Portfolio Spain, S.L. (SPN)",MARKETING,458,
"IMMO IT Spain Portfolio, S.L. (SPN)",MARKETING,458,
IMMO IT SPAIN ELIMINATION,MARKETING,458,
IMMO German Service GmbH (GER),MARKETING,458,
IMMO German Property GmbH (GER),MARKETING,458,
IMMO German Service II GmbH (GER),MARKETING,458,
IMMO German Property II GmbH (GER),MARKETING,458,
IMMO Central Portfolio UK Limited (UK),MARKETING,458,
Matis Investment Elimination,MARKETING,458,
Matis Elimination(Moonstone),MARKETING,458,
Moonstone Elimination(carilux),MARKETING,458,
IMMO Investment Elimination,MARKETING,458,
INSTA IMMO GmbH (GER),MARKETING : Advertising & Marketing,1379,
IMMO Investment Technologies UK Limited (UK),MARKETING : Advertising & Marketing,1379,
IMMO Investment Technologies S.à r.l. (LUX),MARKETING : Advertising & Marketing,1379,
IMMO Investment Technologies España S.L (SPN),MARKETING : Advertising & Marketing,1379,
IMMO Digital Solutions India Private Limited (INR),MARKETING : Advertising & Marketing,1379,
IMMO Digital Solutions India Private Limited (INR),MARKETING : Marketing: Design & Branding,1380,
INSTA IMMO GmbH (GER),MARKETING : Marketing: Design & Branding,1380,
IMMO Investment Technologies UK Limited (UK),MARKETING : Marketing: Design & Branding,1380,
IMMO Investment Technologies S.à r.l. (LUX),MARKETING : Marketing: Design & Branding,1380,
IMMO Investment Technologies España S.L (SPN),MARKETING : Marketing: Design & Branding,1380,
IMMO Investment Technologies España S.L (SPN),MARKETING : Marketing Services,1381,
IMMO Investment Technologies S.à r.l. (LUX),MARKETING : Marketing Services,1381,
IMMO Digital Solutions India Private Limited (INR),MARKETING : Marketing Services,1381,
IMMO Investment Technologies UK Limited (UK),MARKETING : Marketing Services,1381,
INSTA IMMO GmbH (GER),MARKETING : Marketing Services,1381,
IMMO Investment Technologies S.à r.l. (LUX),MARKETING : Marketing Supplier Cost,1382,
IMMO Digital Solutions India Private Limited (INR),MARKETING : Marketing Supplier Cost,1382,
INSTA IMMO GmbH (GER),MARKETING : Marketing Supplier Cost,1382,
IMMO Investment Technologies UK Limited (UK),MARKETING : Marketing Supplier Cost,1382,
IMMO Investment Technologies España S.L (SPN),MARKETING : Marketing Supplier Cost,1382,
Ruscha Residential GmbH (EUR) (IMMO managed),DEPRECIATION & AMORTIZATION,459,
IMMO Consolidation Entity (LUX),DEPRECIATION & AMORTIZATION,459,
Nuveen HoldCo (Consolidation),DEPRECIATION & AMORTIZATION,459,
TIAA General Account Housing German Property GmbH (EUR),DEPRECIATION & AMORTIZATION,459,
TIAA General Account Housing German Service GmbH (EUR),DEPRECIATION & AMORTIZATION,459,
